
000000F	8249941
000001F	6740774
000002F	5926798
000003F	5438602
000004F	5420847
000005F	5463005
000006F	4295117
000007F	4142102
000008F	4106192
000009F	4113110
000011F	4009069
000012F	3953565
000013F	3871854
000014F	3909185
000015F	3824449
000016F	3636637
000017F	3469816
000018F	3451642
000019F	3353565
000020F	3312658
000021F	27349
000022F	315003
000023F	3045376
000024F	3110969
000025F	3109917
000026F	2999497
000027F	3017699
000028F	2663456
000029F	2963565
000030F	2941458
000031F	2859070
000032F	2800351
000033F	2768244
000034F	2780849
000035F	2807379
000036F	2720672
000037F	2739539
000038F	2742627
000039F	2723442
000040F	2714423
000041F	2712478
000042F	2750049
000043F	2427871
000044F	2607533
000045F	2601605
000046F	2649268
000047F	2558347
000048F	2533925
000049F	2530975
000050F	2537059
000052F	2513962
000053F	2455730
000054F	2477832
000055F	2501641
000056F	2466949
000057F	2438691
000058F	2459462
000059F	1074878
000060F	2391113
000061F	2401478
000062F	2371724
000063F	2318671
000064F	2401358
000065F	2369975
000066F	1196800
000067F	2382591
000068F	2329601
000069F	2395718
000070F	2385272
000072F	2335311
000073F	2307798
000074F	2340845
000075F	2299517
000076F	2330452
000077F	2248423
000078F	2211669
000079F	2222156
000080F	2178591
000081F	2167580
000082F	2182744
000083F	2174763
000084F	2133402
000085F	2164531
000086F	2156524
000087F	2155570
000088F	2157765
000089F	2145707
000090F	2103494
000091F	2103989
000092F	2123332
000093F	2119693
000094F	2117737
000095F	2101614
000096F	2098774
000097F	2082661
000098F	1763778
000099F	2027925
000100F	2057323
000101F	2120724
000102F	2095099
000103F	2044381
000105F	2029193
000106F	2050437
000107F	1978080
000108F	2026543
000109F	2022862
000110F	2011922
000111F	2001397
000112F	2029035
000113F	2016091
000114F	2002172
000115F	1994826
000116F	1994567
000117F	2010038
000118F	1982865
000119F	1933185
000120F	1969181
000121F	1952523
000122F	1948005
000123F	1968150
000124F	1972708
000125F	1967063
000126F	1940287
000127F	1944140
000128F	1929597
000129F	1923416
000130F	1922245
000131F	1929616
000132F	1937600
000133F	1954144
000134F	1917840
000135F	92861
000136F	1867533
000137F	1862540
000138F	22065
000139F	1866877
000140F	1904027
000141F	1879731
000142F	1900532
000143F	1872521
000144F	1860721
000145F	1872348
000146F	1857299
000147F	1832366
000148F	1842011
000149F	1843440
000150F	1843331
000151F	1838544
000152F	1832460
000153F	1820932
000154F	1836571
000155F	1824346
000156F	1791292
000157F	1832915
000158F	1783576
000159F	1694628
000160F	1770068
000161F	1776853
000162F	1770027
000163F	1722356
000164F	1752252
000165F	1452545
000166F	1755038
000167F	1735128
000168F	1762873
000169F	1746412
000170F	1732954
000171F	1749009
000172F	1771396
000173F	1680347
000174F	1744885
000175F	1733164
000176F	1722768
000177F	1733002
000178F	1720783
000179F	1718324
000180F	1475969
000181F	1702129
000182F	1631418
000183F	1709487
000184F	1720830
000185F	1703331
000186F	1717909
000187F	1703170
000188F	1696901
000189F	1687662
000190F	1658496
000191F	1688454
000192F	1674151
000193F	1685460
000194F	1682473
000195F	1687025
000196F	1516544
000197F	1693377
000198F	1681591
000199F	1672613
000200F	1680766
000202F	1676723
000203F	1621853
000204F	1648362
000205F	1660029
000206F	1703162
000207F	1643379
000208F	1635470
000209F	1638935
000210F	1648819
000211F	1615293
000212F	1577083
000213F	1584977
000214F	1628163
000215F	1616433
000216F	1624333
000217F	1701207
000218F	1617325
000219F	1586201
000220F	1627032
000221F	1605060
000222F	1601765
000223F	1618741
000224F	1603028
000225F	1598514
000226F	1580999
000227F	1578468
000228F	1590301
000229F	1581281
000230F	1587254
000231F	1584477
000232F	1587232
000233F	1576002
000234F	1549480
000235F	1575459
000236F	1575375
000237F	1574330
000238F	1566827
000239F	1547621
000240F	1532191
000241F	1551666
000242F	1535866
000243F	1530971
000244F	1533554
000245F	1552254
000246F	1519457
000247F	1530232
000248F	1527808
000249F	1465962
000250F	1542722
000251F	1511373
000252F	1503461
000253F	1508256
000254F	1511773
000255F	1511238
000256F	1507608
000257F	1487596
000258F	137504
000259F	1498359
000260F	1497632
000261F	1505652
000262F	1563579
000263F	1486103
000264F	1503144
000265F	1487385
000266F	1474748
000267F	1501251
000268F	528330
000269F	1473960
000270F	1470679
000271F	1422745
000272F	1472011
000273F	1478837
000274F	1437065
000275F	1456809
000276F	1463750
000277F	1459651
000278F	1451504
000279F	1464889
000280F	1434127
000281F	1463331
000282F	1455364
000284F	1453849
000285F	1461397
000286F	1432072
000287F	1453872
000288F	1449836
000289F	1450044
000290F	1448920
000291F	1441439
000292F	1442705
000293F	1436077
000294F	1430635
000295F	1443667
000296F	1444735
000297F	1438812
000298F	1445608
000299F	1398965
000300F	1426631
000301F	1403440
000302F	1417995
000303F	1418833
000304F	1415400
000305F	1416441
000306F	1409332
000307F	1412167
000308F	1426189
000309F	1369117
000310F	1377474
000311F	1417265
000312F	1380120
000313F	1389562
000314F	1393233
000315F	1412911
000316F	1373788
000317F	1419460
000318F	1401471
000319F	1406022
000320F	1401947
000321F	1376906
000322F	1354048
000323F	1353587
000324F	1354721
000325F	1361811
000326F	1365629
000327F	1360353
000328F	1360932
000329F	1357855
000330F	1358383
000331F	1357418
000332F	1365105
000333F	1360579
000334F	1346993
000335F	1344634
000336F	1355276
000337F	1335957
000338F	1347607
000339F	1344041
000340F	1345906
000341F	1328905
000342F	1322360
000343F	1333688
000344F	1304354
000345F	1333233
000346F	1324223
000347F	1335470
000348F	1335999
000349F	1322483
000350F	1329702
000351F	1326522
000352F	1366405
000353F	1401300
000355F	1331933
000356F	1316430
000358F	1338224
000359F	1324298
000360F	1309181
000361F	1318685
000362F	1312144
000363F	1322962
000364F	1307059
000365F	1303314
000366F	1230513
000367F	1314366
000368F	1318180
000369F	1310553
000370F	1311287
000371F	1306186
000372F	1307195
000373F	1310514
000374F	1311095
000375F	1306469
000376F	1306516
000377F	1302502
000378F	1298788
000379F	1300049
000380F	1302830
000381F	1208768
000382F	1296566
000383F	1294648
000384F	1284640
000385F	1308114
000386F	1285526
000387F	1277252
000388F	1285486
000389F	1282569
000390F	1283870
000392F	1268003
000393F	483602
000394F	1276133
000395F	1278881
000396F	1292596
000397F	1277246
000398F	1280113
000399F	1277586
000400F	1285768
000401F	1280223
000402F	1275795
000403F	1212835
000404F	1281551
000405F	1277824
000406F	1278245
000407F	1266783
000408F	1262537
000409F	1263129
000410F	1260155
000411F	1255646
000412F	1263437
000413F	1267154
000414F	1272467
000415F	1304664
000416F	1252732
000417F	1244146
000418F	1267660
000419F	1259583
000420F	1259034
000421F	1257809
000422F	1257437
000423F	1260022
000424F	1259564
000425F	1121789
000426F	1260008
000427F	1256229
000428F	1345057
000429F	1230590
000430F	1256996
000431F	241875
000432F	1243131
000433F	712340
000434F	1305247
000435F	1241930
000436F	1246670
000437F	1248458
000438F	1235404
000439F	1248046
000440F	1225184
000441F	1241025
000442F	1239346
000443F	1237089
000444F	1242949
000445F	1246450
000446F	1206157
000447F	1221937
000448F	1244748
000449F	1211972
000450F	1224177
000451F	1090893
000452F	1229539
000453F	1216582
000454F	1210538
000455F	1225017
000456F	1217793
000457F	1206848
000458F	1216891
000459F	1221446
000461F	1215838
000462F	1180615
000463F	1227289
000464F	1193626
000465F	1205548
000466F	1196672
000467F	1218590
000468F	1204056
000469F	1179621
000470F	1191036
000471F	1200468
000472F	1151125
000473F	1194108
000474F	1204439
000475F	1198856
000476F	1196510
000477F	1197537
000478F	1178079
000479F	1227717
000480F	1177556
000481F	1199127
000482F	1179580
000483F	1183260
000484F	1192625
000485F	1255464
000486F	1191527
000487F	1183808
000488F	1193762
000489F	1182996
000490F	1185905
000491F	1168591
000492F	1205562
000493F	1183920
000495F	1155383
000496F	1180415
000497F	1167054
000498F	1173371
000499F	1191204
000500F	1174753
000501F	1166533
000502F	1170456
000503F	1172501
000504F	1172819
000505F	1175406
000506F	1156261
000507F	1031356
000508F	1170295
000509F	1166268
000510F	1171631
000511F	1164936
000512F	1158960
000513F	1152692
000514F	1153388
000515F	1102244
000516F	1158174
000517F	1155084
000518F	1154294
000519F	1150331
000520F	1153009
000521F	1150038
000522F	1152580
000523F	1141698
000524F	1160893
000525F	1158677
000526F	1135051
000527F	1147370
000528F	1140776
000530F	1144443
000531F	1132715
000532F	1153168
000533F	1127463
000534F	1148675
000535F	1135204
000536F	1130855
000537F	1124041
000538F	1118408
000539F	1134823
000540F	1139102
000541F	1136137
000542F	1130553
000543F	1135987
000544F	1145548
000545F	1118104
000546F	1150246
000547F	121235
000548F	1127983
000549F	1121884
000550F	1112775
000551F	1128669
000552F	1116405
000553F	1108770
000554F	1117171
000555F	1116165
000556F	1125792
000557F	1116228
000558F	1120385
000559F	1112625
000560F	1123577
000561F	1115490
000562F	1086024
000563F	1112306
000564F	1066594
000565F	1150636
000566F	1114236
000567F	1110954
000568F	1094256
000569F	1118427
000570F	1102388
000571F	1111734
000572F	1100205
000573F	1137840
000574F	1110486
000575F	1115351
000576F	1100334
000577F	1092678
000578F	1106968
000579F	1100223
000580F	1097521
000581F	1099390
000582F	1098698
000583F	1090850
000584F	1059142
000585F	1041584
000586F	1080036
000587F	1085781
000588F	1056105
000589F	1010237
000590F	1089781
000591F	1062676
000592F	1089799
000593F	1070555
000594F	1075193
000595F	1096829
000596F	1090176
000597F	1080910
000598F	1080866
000599F	1073432
000600F	1079410
000601F	1061497
000602F	1082456
000603F	1062766
000604F	1076612
000605F	1063648
000606F	1082621
000607F	1069256
000608F	1078329
000609F	1079043
000610F	1080867
000611F	1070308
000612F	1027005
000613F	1006504
000614F	1065424
000615F	1065281
000616F	1075604
000617F	1059748
000618F	1061402
000619F	1062725
000620F	1075372
000621F	997635
000622F	1058371
000623F	1057101
000624F	1055023
000625F	1060755
000626F	1053866
000627F	1070083
000628F	1059802
000629F	1058433
000630F	1054574
000631F	1056424
000632F	1052903
000633F	1044547
000634F	1052975
000635F	1048672
000636F	1037373
000637F	1031981
000638F	1045174
000639F	1047461
000640F	1044946
000641F	1052831
000642F	1050942
000643F	1051586
000644F	1055474
000645F	1051410
000646F	1048315
000647F	1044336
000648F	1048600
000649F	1026832
000650F	1046187
000651F	1016581
000652F	1045680
000653F	239685
000654F	1054722
000655F	1027223
000656F	1085854
000657F	1051505
000658F	1023071
000659F	1035812
000660F	1053165
000661F	1044364
000662F	1041700
000663F	1048401
000664F	1044098
000665F	1046783
000666F	1035515
000667F	966676
000668F	1049945
000670F	1035781
000671F	1037894
000672F	1043606
000673F	1042093
000674F	1033341
000675F	1041731
000676F	1036532
000677F	1030756
000678F	1030526
000679F	1024701
000680F	1021642
000681F	1020797
000682F	1026799
000683F	933352
000684F	1029759
000686F	990248
000687F	1023498
000688F	1029954
000689F	1006702
000690F	1026463
000691F	1024969
000692F	1025468
000693F	978635
000694F	1010726
000695F	1016706
000696F	1020541
000697F	1016265
000698F	1015631
000699F	1015346
000700F	1014512
000701F	1001549
000702F	1015323
000703F	1015504
000704F	1021883
000706F	1015356
000707F	1006272
000708F	1051217
000709F	998962
000710F	998590
000711F	998717
000712F	1006634
000713F	1012167
000714F	1009685
000715F	970486
000716F	1003894
000717F	1009215
000718F	1005871
000719F	1010333
000720F	1001282
000721F	1020341
000722F	993391
000723F	1001522
000724F	1013096
000725F	998925
000726F	983180
000727F	1001088
000728F	992732
000729F	977903
000730F	1000792
000731F	1022851
000732F	999224
000733F	1002351
000734F	982385
000735F	989718
000736F	992441
000737F	996991
000738F	985815
000739F	995602
000740F	997617
000741F	986211
000742F	990489
000743F	991470
000744F	979083
000745F	995831
000746F	924489
000747F	992651
000748F	995990
000749F	991613
000750F	987679
000751F	983147
000752F	980368
000753F	953447
000754F	983459
000755F	982662
000756F	981194
000757F	982473
000758F	966967
000759F	981969
000760F	978148
000761F	963556
000762F	1009488
000763F	992392
000764F	983240
000765F	965390
000766F	993088
000767F	975372
000768F	966076
000769F	979740
000770F	977752
000771F	974738
000772F	312025
000773F	975028
000774F	975206
000775F	968593
000776F	970746
000777F	967439
000778F	943337
000779F	969553
000780F	964051
000781F	954260
000782F	966317
000783F	964642
000784F	970424
000785F	969592
000786F	968525
000787F	164327
000788F	957125
000789F	976240
000790F	965822
000791F	947539
000792F	969459
000793F	961851
000794F	965661
000795F	951158
000796F	967736
000797F	962859
000798F	965039
000799F	947439
000800F	960195
000801F	964443
000802F	955524
000803F	991489
000804F	955847
000805F	968116
000806F	961064
000807F	952220
000808F	949928
000809F	960718
000810F	949635
000811F	950841
000812F	956118
000813F	965069
000814F	959700
000815F	947290
000816F	949565
000817F	956542
000818F	957175
000819F	956780
000820F	953760
000821F	956974
000822F	948211
000823F	949169
000824F	943128
000825F	953737
000826F	943387
000827F	943791
000828F	948562
000829F	959801
000830F	946206
000831F	949278
000832F	943428
000833F	949111
000834F	947985
000835F	959663
000836F	948205
000837F	957128
000838F	946083
000839F	931891
000840F	844144
000841F	944974
000842F	904371
000843F	945448
000844F	949064
000845F	940790
000846F	929622
000847F	916618
000848F	938787
000849F	929493
000850F	937090
000851F	927997
000852F	830687
000853F	931731
000854F	936601
000855F	937903
000856F	960913
000857F	938655
000858F	934644
000859F	955001
000860F	939386
000863F	950569
000864F	942814
000865F	960015
000866F	929036
000867F	934097
000868F	931982
000869F	907358
000870F	931328
000871F	885235
000872F	930642
000873F	929393
000874F	924034
000875F	927484
000876F	930236
000877F	938243
000878F	928489
000879F	922153
000880F	928043
000881F	938284
000882F	919934
000883F	923509
000884F	920314
000885F	903718
000886F	922585
000887F	924326
000888F	899853
000889F	921721
000890F	905103
000891F	905612
000892F	924184
000893F	923246
000894F	914401
000895F	916422
000896F	907305
000897F	920459
000898F	922121
000899F	931110
000900F	896793
000901F	933608
000902F	917846
000903F	923337
000904F	920573
000905F	917961
000906F	916808
000907F	938208
000908F	920128
000909F	917899
000910F	905572
000911F	916171
000912F	920207
000913F	917702
000914F	925087
000915F	909570
000916F	915694
000917F	932370
000918F	921475
000919F	886506
000920F	938830
000921F	906581
000922F	905857
000923F	924974
000924F	890432
000925F	912742
000926F	898878
000927F	536419
000928F	936354
000929F	897220
000930F	909908
000931F	906565
000932F	899158
000933F	888363
000934F	897416
000935F	794908
000936F	896799
000937F	902408
000938F	906732
000939F	901351
000940F	901140
000942F	890925
000943F	897176
000944F	901927
000945F	899051
000946F	887679
000947F	898318
000948F	895007
000949F	891710
000950F	902624
000951F	898034
000952F	897437
000953F	482918
000954F	904588
000955F	899465
000956F	893857
000958F	893505
000959F	895736
000960F	890457
000961F	893785
000962F	890633
000963F	893688
000964F	896649
000965F	894011
000966F	897621
000967F	889581
000968F	911465
000969F	892553
000970F	889763
000971F	818613
000972F	904802
000973F	877395
000974F	881615
000975F	901714
000976F	888029
000977F	888941
000978F	893969
000979F	886029
000980F	880396
000981F	879352
000982F	883422
000983F	879103
000984F	873019
000985F	860198
000986F	881764
000987F	892718
000988F	889008
000989F	876548
000990F	880435
000991F	880366
000992F	871647
000993F	883407
000994F	152236
000995F	875368
000996F	878769
000997F	877224
000998F	866181
000999F	877896
001000F	873634
001001F	880005
001002F	870426
