cascade_000000F_kmer_pairs.tsv,22
cascade_000021F_kmer_pairs.tsv,0
cascade_000022F_kmer_pairs.tsv,3
cascade_000059F_kmer_pairs.tsv,2
cascade_000028F_kmer_pairs.tsv,5
cascade_000036F_kmer_pairs.tsv,8
cascade_000037F_kmer_pairs.tsv,5
cascade_000034F_kmer_pairs.tsv,6
cascade_000039F_kmer_pairs.tsv,6
cascade_000026F_kmer_pairs.tsv,8
cascade_000035F_kmer_pairs.tsv,6
cascade_000047F_kmer_pairs.tsv,4
cascade_000045F_kmer_pairs.tsv,7
cascade_000044F_kmer_pairs.tsv,0
cascade_000049F_kmer_pairs.tsv,6
cascade_000038F_kmer_pairs.tsv,3
cascade_000029F_kmer_pairs.tsv,4
cascade_000048F_kmer_pairs.tsv,9
cascade_000027F_kmer_pairs.tsv,8
cascade_000054F_kmer_pairs.tsv,6
cascade_000056F_kmer_pairs.tsv,2
cascade_000025F_kmer_pairs.tsv,7
cascade_000060F_kmer_pairs.tsv,6
cascade_000024F_kmer_pairs.tsv,14
cascade_000046F_kmer_pairs.tsv,7
cascade_000055F_kmer_pairs.tsv,3
cascade_000019F_kmer_pairs.tsv,3
cascade_000017F_kmer_pairs.tsv,6
cascade_000018F_kmer_pairs.tsv,7
cascade_000016F_kmer_pairs.tsv,12
cascade_000043F_kmer_pairs.tsv,21
cascade_000015F_kmer_pairs.tsv,7
cascade_000014F_kmer_pairs.tsv,13
cascade_000008F_kmer_pairs.tsv,11
cascade_000007F_kmer_pairs.tsv,19
cascade_000033F_kmer_pairs.tsv,12
cascade_000032F_kmer_pairs.tsv,4
cascade_000052F_kmer_pairs.tsv,5
cascade_000050F_kmer_pairs.tsv,2
cascade_000057F_kmer_pairs.tsv,0
cascade_000058F_kmer_pairs.tsv,3
cascade_000053F_kmer_pairs.tsv,7
cascade_000031F_kmer_pairs.tsv,10
cascade_000041F_kmer_pairs.tsv,15
cascade_000042F_kmer_pairs.tsv,3
cascade_000023F_kmer_pairs.tsv,21
cascade_000040F_kmer_pairs.tsv,3
cascade_000030F_kmer_pairs.tsv,3
cascade_000020F_kmer_pairs.tsv,10
cascade_000061F_kmer_pairs.tsv,5
cascade_000066F_kmer_pairs.tsv,3
cascade_000011F_kmer_pairs.tsv,32
cascade_000013F_kmer_pairs.tsv,17
cascade_000004F_kmer_pairs.tsv,11
cascade_000003F_kmer_pairs.tsv,5
cascade_000009F_kmer_pairs.tsv,12
cascade_000012F_kmer_pairs.tsv,14
cascade_000006F_kmer_pairs.tsv,7
cascade_000062F_kmer_pairs.tsv,5
cascade_000063F_kmer_pairs.tsv,10
cascade_000068F_kmer_pairs.tsv,7
cascade_000065F_kmer_pairs.tsv,2
cascade_000002F_kmer_pairs.tsv,11
cascade_000064F_kmer_pairs.tsv,1
cascade_000067F_kmer_pairs.tsv,2
cascade_000073F_kmer_pairs.tsv,12
cascade_000069F_kmer_pairs.tsv,3
cascade_000077F_kmer_pairs.tsv,8
cascade_000081F_kmer_pairs.tsv,4
cascade_000075F_kmer_pairs.tsv,9
cascade_000078F_kmer_pairs.tsv,0
cascade_000070F_kmer_pairs.tsv,3
cascade_000072F_kmer_pairs.tsv,12
cascade_000080F_kmer_pairs.tsv,10
cascade_000079F_kmer_pairs.tsv,5
cascade_000083F_kmer_pairs.tsv,2
cascade_000074F_kmer_pairs.tsv,8
cascade_000084F_kmer_pairs.tsv,2
cascade_000082F_kmer_pairs.tsv,5
cascade_000076F_kmer_pairs.tsv,6
cascade_000085F_kmer_pairs.tsv,5
cascade_000087F_kmer_pairs.tsv,16
cascade_000086F_kmer_pairs.tsv,6
cascade_000088F_kmer_pairs.tsv,7
cascade_000090F_kmer_pairs.tsv,1
cascade_000091F_kmer_pairs.tsv,0
cascade_000138F_kmer_pairs.tsv,0
cascade_000092F_kmer_pairs.tsv,4
cascade_000135F_kmer_pairs.tsv,0
cascade_000093F_kmer_pairs.tsv,5
cascade_000001F_kmer_pairs.tsv,17
cascade_000098F_kmer_pairs.tsv,10
cascade_000109F_kmer_pairs.tsv,5
cascade_000110F_kmer_pairs.tsv,2
cascade_000089F_kmer_pairs.tsv,5
cascade_000005F_kmer_pairs.tsv,30
cascade_000094F_kmer_pairs.tsv,1
cascade_000095F_kmer_pairs.tsv,12
cascade_000099F_kmer_pairs.tsv,4
cascade_000097F_kmer_pairs.tsv,9
cascade_000096F_kmer_pairs.tsv,0
cascade_000100F_kmer_pairs.tsv,3
cascade_000103F_kmer_pairs.tsv,5
cascade_000105F_kmer_pairs.tsv,4
cascade_000107F_kmer_pairs.tsv,16
cascade_000102F_kmer_pairs.tsv,2
